iter	Passed	Remaining
0	2	2795
1	5	2629
2	7	2575
3	10	2593
4	13	2643
5	16	2670
6	19	2747
7	22	2815
8	25	2859
9	29	2927
10	33	2974
11	37	3046
12	40	3085
13	44	3122
14	47	3149
15	51	3186
16	55	3211
17	59	3232
18	62	3245
19	66	3280
20	70	3301
21	74	3312
22	77	3308
23	81	3305
24	84	3310
25	88	3324
26	92	3324
27	95	3320
28	99	3345
29	103	3348
30	107	3348
31	110	3343
32	113	3334
33	117	3334
34	120	3320
35	123	3306
36	125	3268
37	128	3257
38	132	3263
39	135	3253
40	138	3240
41	141	3229
42	144	3216
43	148	3216
44	151	3205
45	154	3200
46	157	3191
47	160	3181
48	164	3187
49	167	3178
50	170	3170
51	173	3158
52	176	3156
53	179	3151
54	183	3146
55	186	3142
56	189	3134
57	192	3131
58	196	3129
59	199	3127
60	202	3121
61	206	3127
62	209	3121
63	213	3118
64	216	3115
65	219	3107
66	222	3101
67	224	3080
68	227	3075
69	231	3074
70	234	3069
71	237	3065
72	240	3059
73	244	3058
74	247	3056
75	249	3029
76	253	3038
77	256	3034
78	260	3033
79	263	3033
80	267	3031
81	271	3038
82	275	3041
83	278	3040
84	282	3042
85	285	3039
86	289	3033
87	292	3031
88	295	3028
89	299	3028
90	302	3024
91	305	3018
92	309	3018
93	312	3014
94	316	3010
95	319	3007
96	322	3005
97	326	3006
98	329	3001
99	333	3001
100	336	2997
101	341	3002
102	344	2999
103	347	2995
104	350	2989
105	354	2987
106	357	2987
107	361	2983
108	364	2979
109	367	2974
110	371	2971
111	374	2969
112	377	2964
113	380	2960
114	384	2955
115	387	2954
116	391	2954
117	394	2950
118	397	2945
119	401	2941
120	404	2939
121	408	2936
122	411	2935
123	414	2930
124	418	2927
125	421	2925
126	425	2922
127	428	2919
128	431	2916
129	435	2915
130	439	2912
131	442	2909
132	445	2907
133	449	2902
134	452	2900
135	455	2895
136	459	2891
137	462	2889
138	465	2884
139	469	2882
140	472	2877
141	475	2874
142	478	2870
143	482	2866
144	485	2863
145	488	2859
146	492	2858
147	495	2853
148	499	2850
149	502	2846
150	505	2843
151	509	2839
152	512	2835
153	515	2831
154	518	2827
155	521	2824
156	525	2819
157	528	2814
158	531	2810
159	534	2806
160	537	2802
161	541	2798
162	544	2793
163	547	2791
164	550	2788
165	553	2783
166	556	2778
167	559	2773
168	563	2768
169	566	2767
170	569	2763
171	572	2757
172	575	2753
173	579	2749
174	582	2745
175	585	2741
176	588	2736
177	591	2731
178	594	2728
179	598	2725
180	602	2725
181	605	2721
182	608	2717
183	612	2714
184	615	2712
185	619	2709
186	622	2707
187	626	2704
188	630	2704
189	633	2700
